job_title,salary_count,salary_mean,salary_p25,salary_p75,salary_min,salary_max
Junior Software Engineer,51,50372.55,45000.0,55000.0,40000.0,55000.0
Junior UX Designer,1,45000.0,45000.0,45000.0,45000.0,45000.0
Junior Web Designer,1,45000.0,45000.0,45000.0,45000.0,45000.0
Junior Web Developer,42,45761.9,45000.0,50000.0,40000.0,55000.0
Juniour HR Coordinator,3,32000.0,32000.0,32000.0,32000.0,32000.0
Juniour HR Generalist,3,43000.0,43000.0,43000.0,43000.0,43000.0
Marketing Analyst,132,62916.67,60000.0,70000.0,40000.0,75000.0
Marketing Coordinator,158,81056.96,58000.0,95000.0,40000.0,131000.0
Marketing Director,64,183984.38,180000.0,195000.0,160000.0,195000.0
Marketing Manager,255,117094.12,100000.0,130000.0,55000.0,210000.0
Marketing Specialist,1,65000.0,65000.0,65000.0,65000.0,65000.0
Network Engineer,1,60000.0,60000.0,60000.0,60000.0,60000.0
Office Manager,1,65000.0,65000.0,65000.0,65000.0,65000.0
Operations Analyst,1,110000.0,110000.0,110000.0,110000.0,110000.0
Operations Director,1,190000.0,190000.0,190000.0,190000.0,190000.0
Operations Manager,114,95938.6,75000.0,112250.0,70000.0,174000.0
Principal Engineer,1,170000.0,170000.0,170000.0,170000.0,170000.0
Principal Scientist,1,120000.0,120000.0,120000.0,120000.0,120000.0
Product Designer,75,56200.0,55000.0,60000.0,45000.0,90000.0
Product Manager,313,142476.04,110000.0,190000.0,55000.0,198000.0
Product Marketing Manager,1,95000.0,95000.0,95000.0,95000.0,95000.0
Project Engineer,1,115000.0,115000.0,115000.0,115000.0,115000.0
Project Manager,22,119090.91,116250.0,127500.0,95000.0,130000.0
Public Relations Manager,1,90000.0,90000.0,90000.0,90000.0,90000.0
Receptionist,57,25000.0,25000.0,25000.0,25000.0,25000.0
Recruiter,2,65000.0,62500.0,67500.0,60000.0,70000.0
Research Director,75,163333.33,160000.0,170000.0,150000.0,190000.0
Research Scientist,69,165362.32,155000.0,180000.0,120000.0,185000.0
Sales Associate,70,35857.14,30000.0,50000.0,25000.0,60000.0
Sales Director,62,124112.9,82500.0,155000.0,70000.0,180000.0
Sales Executive,38,43026.32,35000.0,38750.0,35000.0,160000.0
Sales Manager,56,102946.43,40000.0,160000.0,35000.0,180000.0
Sales Operations Manager,1,110000.0,110000.0,110000.0,110000.0,110000.0
Sales Representative,38,44078.95,35000.0,53750.0,30000.0,90000.0
Senior Account Executive,1,95000.0,95000.0,95000.0,95000.0,95000.0
Senior Account Manager,1,110000.0,110000.0,110000.0,110000.0,110000.0
Senior Accountant,2,85000.0,82500.0,87500.0,80000.0,90000.0
Senior Business Analyst,10,116000.0,97500.0,140000.0,90000.0,150000.0
Senior Business Development Manager,4,110000.0,105000.0,120000.0,90000.0,120000.0
Senior Consultant,1,140000.0,140000.0,140000.0,140000.0,140000.0
Senior Data Analyst,3,155000.0,152500.0,157500.0,150000.0,160000.0
Senior Data Engineer,4,155000.0,150000.0,160000.0,150000.0,160000.0
Senior Data Scientist,61,151147.54,125000.0,170000.0,120000.0,200000.0
Senior Engineer,2,127500.0,121250.0,133750.0,115000.0,140000.0
Senior Financial Advisor,3,93333.33,90000.0,100000.0,80000.0,100000.0
Senior Financial Analyst,7,112857.14,95000.0,130000.0,90000.0,150000.0
Senior Financial Manager,5,100000.0,90000.0,100000.0,90000.0,120000.0
Senior Graphic Designer,1,110000.0,110000.0,110000.0,110000.0,110000.0
Senior HR Generalist,42,90904.76,80000.0,105000.0,55000.0,115000.0
Senior HR Manager,3,150000.0,145000.0,155000.0,140000.0,160000.0
Senior HR Specialist,1,140000.0,140000.0,140000.0,140000.0,140000.0
Senior Human Resources Coordinator,1,80000.0,80000.0,80000.0,80000.0,80000.0
Senior Human Resources Manager,48,109583.33,80000.0,132500.0,70000.0,160000.0
Senior Human Resources Specialist,1,120000.0,120000.0,120000.0,120000.0,120000.0
Senior IT Consultant,2,110000.0,110000.0,110000.0,110000.0,110000.0
Senior IT Project Manager,1,130000.0,130000.0,130000.0,130000.0,130000.0
Senior IT Support Specialist,1,110000.0,110000.0,110000.0,110000.0,110000.0
Senior Manager,2,160000.0,155000.0,165000.0,150000.0,170000.0
Senior Marketing Analyst,9,89444.44,85000.0,95000.0,85000.0,100000.0
Senior Marketing Coordinator,3,93333.33,85000.0,100000.0,80000.0,110000.0
Senior Marketing Director,1,160000.0,160000.0,160000.0,160000.0,160000.0
Senior Marketing Manager,9,127222.22,105000.0,140000.0,95000.0,170000.0
Senior Marketing Specialist,4,98750.0,92500.0,101250.0,85000.0,120000.0
Senior Operations Analyst,2,85000.0,85000.0,85000.0,85000.0,85000.0
Senior Operations Coordinator,4,97500.0,90000.0,97500.0,90000.0,120000.0
Senior Operations Manager,5,108000.0,100000.0,115000.0,95000.0,120000.0
Senior Product Designer,5,148000.0,150000.0,150000.0,140000.0,150000.0
Senior Product Development Manager,1,100000.0,100000.0,100000.0,100000.0,100000.0
Senior Product Manager,6,121666.67,101250.0,142500.0,95000.0,150000.0
Senior Product Marketing Manager,69,126594.2,85000.0,170000.0,70000.0,200000.0
Senior Project Coordinator,5,92000.0,95000.0,95000.0,80000.0,95000.0
Senior Project Engineer,318,166224.75,152038.0,190000.0,51831.0,210000.0
